Lat,Long,Date,FireDate,BurnID,ID,fireType,Sev4Cls,Sev5Cls,CBI_Plot,CBI_Under,CBI_Over,OzCBI_Plot,OzCBI_Under,OzCBI_Over,RBR,dNBR,NBRpre,NBRpost,siteReserve,fireHx,plotType,plotNumber,plotTag,Obs,Sev_Field,%burn,A1,A2,A3,A4,A5,CBI_A,B%cov,B1,B2,B3,B4,CBI_B,C%cov,C1,C2,C3,C4,CBI_C,D%cov,D1,D2,D3,D4,D5,CBI_D,E%cov,E1,E2,E3,E4,E5,CBI_E,firemonNotes,A1,A2,A3,A4,OzCBI_A,B%cov,B1,B2,B3,OzCBI_B,C%cov,C1,C2,C3,OzCBI_C,E.ht,E%cov,E1,E2,E3,E4,OzCBI_E,OZcbiNotes,dataNotes,missingData,rbr,dnbr,preNBR,postNBR,RdNBR
-31.125242,115.915597,19-Jan-20,17-Sep-19,SWC_046,RedGully1978_plot3,PB,Hi,CB,2.56875,2.625,2.4,,,,460.39224,570.17053,0.23745,-0.33273,RedGullyNR,1978,veg,plot3,,JBF,H,100,3,NA,1.5,NA,1.5,2,40,3,3,3,3,3,15,2.5,3,3,3,2.875,15,3,1,2.5,3,2.5,2.4,,,,,,,,Hi severity,,,,,,,,,,,,,,,,,,,,,,,,,,306.9164768,333.2268278,0.084658215,-0.2485686,1145.263461
-31.24601986,116.0069237,26-Nov-20,13-Sep-20,SWC_058,CullallaRd2001cbi5,PB,Hi,CB,3,3,,2.875,2.875,,459.7363,512.25226,0.11323,-0.39902,CullallaRd,2001,cbi,cbi5,,jbf,hi,100,2.5,,2.5,,0,1.666666667,40,3,3,3,3,3,0,,,,,,0,,,,,,,,,,,,,,hi sev. Low heath.,3,,2.5,,2.75,,3,3,,3,,,,,,,,,,,,,,,,,,,,
-31.4151166,115.7335123,2-May-21,11-Jan-21,SWC_XXX,NuytsiaRd2015_plot4,WF,Hi,CB,2.921875,2.979166667,2.75,2.59375,2.541666667,2.75,451.1788,528.14105,0.16958,-0.35856,YealNR,2015,veg,plot4,9335,JBF,hi sev,100,3,,,,,3,35,3,3,3,,3,5,2.75,3,3,3,2.9375,30,3,2.5,2.75,3,2.5,2.75,,,,,,,,hi sev,2.75,,2.5,,2.625,,3,,,3,,,2.5,1.5,2,,,,,,2.75,2.75,,,,,,,,
-31.41520444,115.7347614,2-May-21,11-Jan-21,SWC_XXX,NuytsiaRd2015_plot5,WF,Hi,CB,2.975,3,2.9,2.6875,2.666666667,2.75,448.16376,523.81232,0.1678,-0.35602,YealNR,2015,veg,plot5,new tag 486,JBF,hi sev,100,3,,,,,3,40,3,3,3,3,3,5,3,3,3,3,3,15,3,3,2.75,3,2.75,2.9,,,,,,,,very hi severity.,3,,3,,3,,3,,,3,,,2.5,1.5,2,,,,,,2.75,2.75,,,,,,,,
-31.24598531,116.0033142,26-Nov-20,13-Sep-20,SWC_058,CullallaRd2001veg7,PB,Hi,CB,2.520833333,2.611111111,2.25,2.291666667,2.833333333,1.75,443.93637,459.47006,0.03399,-0.42548,CullallaRd,2001,veg,veg7,,jbf,hi,100,2.5,,2.5,,0.5,1.833333333,50,3,3,,3,3,2,3,3,3,3,3,10,2.75,1,2.5,2.75,,2.25,,,,,,,,,3,,2.5,2.5,2.666666667,,3,,,3,,,2.5,0.5,1.5,5.5,,,,,2,2,12 trees in approx 20m.,,,,,,,
-31.41630055,115.7316828,2-May-21,11-Jan-21,SWC_XXX,NuytsiaRd2015_plot2,WF,Hi,CB,2.9375,3,2.75,2.71875,2.708333333,2.75,439.29266,529.20349,0.20367,-0.32553,YealNR,2015,veg,plot2,9340,JBF,hi sev,100,3,,,,,3,35,3,3,,3,3,10,3,3,3,3,3,20,3,2.5,2.75,3,2.5,2.75,,,,,,,,,2.75,,3,,2.875,,3,,,3,,,2.5,2,2.25,,,,,,2.75,2.75,,,,,,,,
-31.444843,115.611344,17-Jan-20,11-Dec-19,SWC_057,WilbingaRd_CaraPB17.4,WF,Hi,CB,2.625,2.625,,,,,436.71866,536.86017,0.2283,-0.30856,CarabanWest,,CBI,CaraPB17.4,,"JBF, LLW",very high severy,100,3,NA,NA,NA,1.5,2.25,65,3,3,3,3,3,0,,,,,,0,,,,,,,0,,,,,,,very high severity; limestone ridge; heath; melahueg and acaccylop/acacrost,,,,,,,,,,,,,,,,,,,,,,,,,,427.5307962,523.0214154,0.222357435,-0.300663982,1109.158582
-31.41535,115.732048,2-May-21,11-Jan-21,SWC_XXX,NuytsiaRd2015_plot3,WF,Hi,CB,2.875,3,2.5,2.5,2.583333333,2.25,434.03189,518.28857,0.19313,-0.32516,YealNR,2015,veg,plot3,244,JBF,hi sev,100,3,,,,,3,30,3,3,3,3,3,5,3,3,3,3,3,15,3,2.5,2.5,3,1.5,2.5,,,,,,,,hi sev,2.75,,2.75,,2.75,,3,,,3,,,2.5,1.5,2,,,,,,2.25,2.25,,,,,,,,
-31.41712801,115.7316925,2-May-21,11-Jan-21,SWC_XXX,NuytsiaRd2015_plot1,WF,Hi,CB,2.9375,3,2.75,2.71875,2.625,3,429.46097,501.71155,0.16724,-0.33448,YealNR,2015,veg,plot1,new tag 491,JBF,hi sev,100,3,,,,,3,35,3,3,,3,3,10,3,3,3,3,3,20,3,2.5,2.5,3,2.75,2.75,,,,,,,,very hi severity. Uniform.,2.75,,3,,2.875,,3,,,3,,,2.5,1.5,2,,,,,,3,3,,,,,,,,
-31.442908,115.599349,17-Jan-20,11-Dec-19,SWC_057,WilbingaRd_CaraPB17.1,WF,Hi,CB,2.6,2.666666667,2.4,,,,427.85422,475.62503,0.11065,-0.36497,CarabanWest,,CBI,CaraPB17.1,,"JBF, LLW",high sev,95,2.5,NA,NA,NA,2,2.25,30,2.5,3,3,3,2.875,25,2.5,3,3,3,2.875,5,3,1,2.5,3,2.5,2.4,,,,,,,,"high severity, heathy with low banksias",,,,,,,,,,,,,,,,,,,,,,,,,,402.3062957,447.4842906,0.111254357,-0.336229932,1341.588356
-31.40537507,115.7531837,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_plot1,WF,Hi,CB,2.934375,2.979166667,2.8,2.4375,2.5,2.25,391.57928,432.44104,0.10335,-0.32909,YealNR,2005,veg,plot1,new 9354,JBF,hi sev,100,3,,,,,3,25,3,3,3,3,3,3,2.75,3,3,3,2.9375,25,3,2.75,2.75,3,2.5,2.8,,,,,,,,very hi/high sev. Canopy scortch consumption.,2.75,,2.75,,2.75,,3,,,3,,,2.5,1,1.75,,,,,,2.25,2.25,,,,,,,,
-31.40754473,115.7533294,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_plot3,WF,Hi,CB,2.8719,2.979166667,2.55,2.59375,2.791666667,2,384.02335,410.75409,0.06861,-0.34215,YealNR,2005,veg,plot3,340,JBF,hi sev,100,3,,,,,3,35,3,3,3,3,3,15,2.75,3,3,3,2.9375,15,3,2.25,2.5,3,2,2.55,,,,,,,,very hi sev. Canopy consumption.,3,,3,,3,,3,,,3,,,2.5,2.25,2.375,,,,,,2,2,,,,,,,,
-31.40648349,115.7533825,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_plot2,WF,Hi,CB,2.86875,2.958333333,2.6,2.6875,2.75,2.5,383.8187,407.94958,0.06187,-0.34608,YealNR,2005,veg,plot2,new 9343,JBF,hi sev,100,3,,,,,3,20,3,3,3,3,3,25,2.5,3,3,3,2.875,15,3,2,2.5,3,2.5,2.6,,,,,,,,very hi sev. Canopy consumption.,3,,3,,3,,3,,,3,,,2.5,2,2.25,,,,,,2.5,2.5,,,,,,,,
-31.16606989,115.6654381,25-Nov-20,24-Sep-20,SWC_010,MooreRiverNR1996cbi1,PB,Hi,CB,2.766666667,2.722222222,2.9,2.375,3,1.75,365.72275,377.90979,0.03232,-0.34559,MooreRiverNR,1996,cbi,cbi1,,"jbf, bgh",hi,100,3,,3,,0.5,2.166666667,40,3,3,,3,3,15,3,3,3,3,3,5,3,3,2.5,3,3,2.9,,,,,,,,Swamp,3,,3,,3,,3,,,3,,,,1,1,4,,,,,2.5,2.5,,,,,,,,
-31.40824,115.753853,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_CBI1,WF,Hi,CB,2.675,2.833333333,2.2,2.25,2.416666667,1.75,359.56958,384.8353,0.06927,-0.31557,YealNR,2005,CBI,CBI1,na,JBF,hi sev,100,2.75,,,,,2.75,20,2.5,3,3,3,2.875,25,2.5,3,3,3,2.875,25,3,1.5,2.5,3,1,2.2,,,,,,,,"scortch, a littile consumption.",2.5,,2.5,,2.5,,2.75,,,2.75,,,2.5,1.5,2,,,,,,1.75,1.75,,,,,,,,
-31.356682,115.592175,17-Jan-20,11-Dec-19,SWC_057,CaraWestPB_hs2_north,WF,Hi,CB,2.547916667,2.680555556,2.15,,,,322.87338,380.87772,0.17865,-0.20223,CarabanWest,2015.05,CBI,hs2_north,,"JBF, LLW",hi sev,100,3,NA,2,NA,1.5,2.166666667,50,3,3,3,3,3,10,2.5,3,3,3,2.875,35,2.5,1,2.5,2.75,2,2.15,,,,,,,,"high severity woodland, scorch, 5% green tree canopy",,,,,,,,,,,,,,,,,,,,,,,,,,323.2245155,376.7727444,0.16458325,-0.212189501,928.7239856
-31.442862,115.60591,17-Jan-20,11-Dec-19,SWC_057,WilbingaRd_CaraPB1,WF,Hi,CB,2.833333333,2.833333333,,,,,295.3071,335.6246,0.13553,-0.2001,CarabanWest,,CBI,CaraPB1,,"JBF, LLW",high sev,100,3,NA,NA,NA,2,2.5,65,3,3,3,3,3,15,3,3,3,3,3,,,,,,,,,,,,,,,"hi sev, banksess",,,,,,,,,,,,,,,,,,,,,,,,,,291.1226786,331.5267912,0.133987299,-0.197539492,905.7051019
-31.124357,115.91653,19-Jan-20,17-Sep-19,SWC_046,RedGully1978_plot6,PB,Hi,CS,2.460416667,2.513888889,2.3,,,,550.53619,720.91486,0.30848,-0.41244,RedGullyNR,1978,veg,plot6,,JBF,H,100,3,NA,0.5,NA,1.5,1.666666667,50,3,3,3,3,3,10,2.5,3,3,3,2.875,20,3,1,2.5,3,2,2.3,,,,,,,,"Hi sev, 100% canopy loss, mostly scorch",,,,,,,,,,,,,,,,,,,,,,,,,,387.0385051,437.786983,0.1299989,-0.307788079,1214.207763
-31.12757,115.90502,19-Jan-20,17-Sep-19,SWC_046,RedGully2004_CBI1,PB,Hi,CS,2.575,2.666666667,2.3,,,,531.49579,707.3241,0.32982,-0.37751,RedGullyNR,2004,CBI,CBI1,,JBF,H,100,3,NA,1.5,NA,1.5,2,40,3,3,3,3,3,35,3,3,3,3,3,10,3,1,2.5,3,2,2.3,,,,,,,,"Hi Sev, torching +some canopy consumed",,,,,,,,,,,,,,,,,,,,,,,,,,404.7515219,463.0625761,0.143029464,-0.320033106,1224.410168
-31.12497,115.916299,19-Jan-20,17-Sep-19,SWC_046,RedGully1978_plot2,PB,Hi,CS,2.429166667,2.472222222,2.3,,,,513.10522,659.21014,0.28375,-0.37546,RedGullyNR,1978,veg,plot2,,JBF,H,100,3,NA,1,NA,1,1.666666667,50,2.5,3,3,3,2.875,20,2.5,3,3,3,2.875,20,3,1,2.5,3,2,2.3,,,,,,,,"HI Sev site, total canopy loss, mix of torch & scorch",,,,,,,,,,,,,,,,,,,,,,,,,,364.4206159,398.4337303,0.092547425,-0.305886311,1309.706332
-31.24473816,116.0041522,26-Nov-20,13-Sep-20,SWC_058,CullallaRd2001veg5,PB,Hi,CS,2.46875,2.5,2.375,2.375,2.75,2,490.06537,542.17426,0.10533,-0.43684,CullallaRd,2001,veg,veg5,,jbf,hi,100,2.5,,2,,0,1.5,40,3,3,,3,3,10,3,3,3,3,3,12,3,1,2.5,3,,2.375,,,,,,,,,3,,2.5,2,2.5,,3,3,,3,,,2.5,1.5,2,5.5,,,,,2,2,,,,,,,,
-31.548561,115.667109,20-Jan-20,11-Dec-19,SWC_057,Yanch91_plot3,WF,Hi,CS,2.546666667,2.611111111,2.45,,,,485.81183,624.67682,0.28484,-0.33984,YanchepNP,1991,veg,plot3,,JBF,H,100,3,NA,1,NA,1.5,1.833333333,35,3,3,3,3,3,30,3,3,3,3,3,15,3,2,2.5,3,2.5,2.6,10,3,0,2.5,3,3,2.3,"Hi Sev,Tuart 100% Scorch, Banksia Consumed N 85% canopy",,,,,,,,,,,,,,,,,,,,,,,,,,424.5875754,475.9370339,0.120242919,-0.355694107,1372.52336
-31.563028,115.681588,16-Jan-20,11-Dec-19,SWC_057,Yanch05_plot6,WF,Hi,CS,2.5375,2.583333333,2.4,,,,485.39178,577.12091,0.18798,-0.38914,YanchepNP,2005,veg,plot6,,JBF,hi,100,3,NA,2,NA,1,2,30,3,3,2.5,3,2.875,15,2.5,3,3,3,2.875,20,3,2,2.5,3,1.5,2.4,,,,,,,,high severity; tree canopy still on trees; some shrub with unconsumed leaves.,,,,,,,,,,,,,,,,,,,,,,,,,,382.3177217,389.6624755,0.018243724,-0.37141876,2884.907124
