"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"22","BWD135-MJM4","Southern Jarrah Forest","BWD135",2.5,0.543646694214876,0.761827560795873,269.333333333333,769.166666666667,0.221790678659035,0.909817697932348,-110.333333333333,-254.666666666667,0.477055190309217,0.594952443364917,0.589013462651274,"VH","VH",0
"23","BWD135-MJCS4","Southern Jarrah Forest","BWD135",2.6,0.46864875166762,0.70637732506643,331.5,846.75,0.171658811008058,0.763236151845082,-145.75,-217,0.45662295289115,0.494198223023397,0.519332358142742,"VH","VH",0
"24","BWD135-MJCS8","Southern Jarrah Forest","BWD135",2.7,0.518447773197949,0.75750523621131,260.5,788.25,0.17852684144819,0.754863407135032,-137,-257.75,0.433712749628126,0.495662391320313,0.496801153978651,"VH","VH",0
"25","BWD135-ub94","Southern Jarrah Forest","BWD135",0,0.374007521938989,0.631761786600496,371,920,0.056215868936717,0.00299179733210392,36,21.5,-0.0188464859055865,-0.00741749736727246,0.00217584070222757,"U","U",0
"26","BWD135-ub95","Southern Jarrah Forest","BWD135",0,0.592443729903537,0.795197100135931,226,690,0.263795853269537,-0.0498579808274117,13,21,0.00690320225299212,-0.0607572981885999,-0.0312894518279789,"U","L",1
"27","BWD135-ub96","Southern Jarrah Forest","BWD135",0,0.404699738903394,0.581688366232675,498,995.5,0.115521327014218,-0.0423992372058207,128,77.5,-0.0295792394011274,-0.0457689955664271,-0.0301623711183848,"U","U",0
"28","BWD135-ub97","Southern Jarrah Forest","BWD135",0,0.489884966283221,0.734072022160665,288,811.5,0.169000933706816,-0.00683096146718959,15,-10,0.0190206599453902,-0.00674882443571859,-0.00458181658657354,"U","U",0
"29","BWD135-ub98","Southern Jarrah Forest","BWD135",0,0.612788632326821,0.788810086682427,268,748.5,0.297513575307231,0.0486767543754948,-5,-24.5,0.0330730193934345,0.00790590834107313,0.0301630296560652,"U","M",2
"30","DON107-MSJU1","Southern Jarrah Forest","DON107",0.8,0.417164413706382,0.635703918722787,502,1135,0.120835405271009,0.151249828694295,210,119,0.0187309212188157,0.0213502236931605,0.106651829105627,"M","M",0
"31","DON107-MSJL1","Southern Jarrah Forest","DON107",1.4,0.360789652825051,0.608421617272362,486.666666666667,1151.83333333333,0.0476939203354298,0.158871844605873,184.666666666667,96.8333333333333,0.0546762657582833,0.0580706403895692,0.116664012152164,"M","M",0
"32","DON107-MJL3","Southern Jarrah Forest","DON107",1.9,0.563214861441621,0.777894185437402,318,904.875,0.261006873490619,0.318109770735955,37,-301,0.167577844514573,0.247871225161837,0.203367055624812,"H","H",0
"33","DON107-MSJM1","Southern Jarrah Forest","DON107",2.1,0.385900035786711,0.660663236134934,395.666666666667,1051.83333333333,0.062654349217964,0.577150736852331,81.6666666666667,-143.666666666667,0.242481417953116,0.207170766461654,0.416144438647264,"VH","VH",0
"34","DON107-MJH3","Southern Jarrah Forest","DON107",2.3,0.64206268958544,0.78167855183763,298.5,774.75,0.32139951179821,0.647061274891485,10.25,-377.25,0.435524705683784,0.480561064360575,0.39381411250641,"VH","VH",0
"35","DON107-MSJH1","Southern Jarrah Forest","DON107",2.3,0.372022382094325,0.674536585365854,417,1108.5,0.0875681155747054,0.531399422101785,66.75,-214.25,0.373627363255881,0.334034003712382,0.387028958181454,"VH","VH",0
"36","DON099-TBSJU10","Southern Jarrah Forest","DON099",0.1,0.586468416325716,0.740911081909768,295.75,744.375,0.249744516940492,-0.0474671689060201,58.5,57.125,0.00196239343657312,-0.0741475985818247,-0.0299011737291035,"L","U",-1
"37","DON099-TBSJU1","Southern Jarrah Forest","DON099",0.2,0.529981484119071,0.749226510340335,256.666666666667,721.333333333333,0.203046253779819,-0.0792492851116978,124.333333333333,174.666666666667,0.0071835791782332,-0.0883117709115395,-0.0517637123203341,"L","U",-1
"38","DON099-TbSJHU9","Southern Jarrah Forest","DON099",0.2,0.466051969823973,0.703225806451613,304.75,819.875,0.134241245136187,0.0884755258828633,69.75,56,0.0311518018933612,0.0377927143988513,0.0603083787778011,"L","U",-1
"39","DON099-TBSJU6","Southern Jarrah Forest","DON099",0.4,0.467355659346119,0.721179624664879,299,852,0.135584095977851,0.148635799635466,58.75,59.125,0.0544667835511518,0.0886948421920458,0.101226020201166,"L","H",2
"40","DON099-TBSJU2","Southern Jarrah Forest","DON099",0.6,0.55063829787234,0.72865275142315,357.5,896.75,0.226605628113639,0.0259737906997352,92.5,94.625,-0.00995094467541269,-0.00454301548549366,0.0167395911375424,"M","U",-2
"41","DON099-TBSJU5","Southern Jarrah Forest","DON099",0.8,0.382167095717295,0.682860806382676,278.25,814.125,0.0447549973465417,0.213369980017524,89,98.875,0.059997362162863,0.180689089907724,0.154261896974113,"M","H",1
"42","DON099-TVSJ06","Southern Jarrah Forest","DON099",1.2,0.449360146252285,0.685374149659864,370,981,0.109121432568551,0.174994664018783,95.3333333333333,40.5,0.0196588446295393,0.0723673545177557,0.120656007041401,"M","M",0
"43","DON099-TBSJL9","Southern Jarrah Forest","DON099",1.3,0.474052164560366,0.710986267166042,308.666666666667,831.333333333333,0.148784576697401,0.232789135743689,20,-18.8333333333333,0.106150753888199,0.155530559771117,0.157817561532185,"M","H",1
"44","DON099-TBSJU4","Southern Jarrah Forest","DON099",1.3,0.536609829488465,0.760919540229885,260,750.375,0.213657609126198,0.0801716091389797,29,84,0.0623114031849172,0.0264669838105098,0.0521404114369192,"M","U",-2
"45","DON099-TBSJU8","Southern Jarrah Forest","DON099",1.4,0.474337550728097,0.702047244094488,315.333333333333,849.791666666667,0.130928401391686,0.0378709071854914,74.3333333333333,129.25,0.00692957637408076,-0.00983002299542213,0.0256693169416054,"M","U",-2
"46","DON099-TBSJL2b","Southern Jarrah Forest","DON099",1.4,0.513635001498352,0.715401596196298,279.333333333333,724.166666666667,0.180415985043234,0.294222277191663,53.3333333333333,55,0.129569246727585,0.225601998136001,0.194252923576046,"M","H",1
"47","DON099-TBSJM9","Southern Jarrah Forest","DON099",1.7,0.506877817593342,0.713684764033127,363,915.5,0.193554294085332,0.399483451396159,-63,-67.1666666666666,0.242727150218371,0.286887627418666,0.264930915976837,"H","H",0
"48","DON099-TBSJL8","Southern Jarrah Forest","DON099",1.7,0.48125791062214,0.695531037557116,341.5,888.75,0.139540109355104,0.260536631653247,12.5,11.5,0.143861220291835,0.179220327742547,0.175770107068542,"H","H",0
"49","DON099-TBSJL10","Southern Jarrah Forest","DON099",1.8,0.539362980769231,0.755053100376841,238.333333333333,659.666666666667,0.224719101123595,0.366879419818295,-117.333333333333,-231.666666666667,0.282060090421324,0.307425868040889,0.238177250686122,"H","H",0
"50","DON099-TBSJM1","Southern Jarrah Forest","DON099",1.8,0.48464827050136,0.70080142475512,336,867.5,0.154427319431853,0.315402304087136,-57.6666666666667,-70,0.201531656342852,0.221907205235123,0.212299445534775,"H","H",0
"51","DON099-TBSJL2","Southern Jarrah Forest","DON099",1.8,0.477369769427839,0.709824075904329,367,987.875,0.14683460391117,0.368129796017691,-79,-89.25,0.271731573749776,0.288687693822887,0.249010635654546,"H","H",0
"52","DON099-TBSJL4","Southern Jarrah Forest","DON099",1.8,0.486195995785037,0.656176608736496,366,835.75,0.149095649340068,0.382969325548057,66.5,-13.75,0.127088558422031,0.301877964487624,0.257510998303826,"H","H",0
"53","DON099-TBSJM4","Southern Jarrah Forest","DON099",1.8,0.521539104976997,0.755509087984558,253.333333333333,766.166666666667,0.174306003873467,0.506185983175564,-108,-245.333333333333,0.325083709469778,0.41705409547652,0.3324617289112,"H","VH",1
"54","DON099-TBSJM2b","Southern Jarrah Forest","DON099",2,0.442643962281424,0.696415114651739,352.5,996.25,0.0913498164692846,0.346426051248699,-128.5,-204.125,0.209262246756592,0.218514740794452,0.239966404667556,"H","H",0
"55","DON099-TBSJM10","Southern Jarrah Forest","DON099",2,0.538532110091743,0.780569810652982,206.666666666667,652.333333333333,0.208648648648649,0.646934210616874,-156,-298.5,0.429661784876766,0.528923169666664,0.420214821357849,"H","VH",1
"56","DON099-TBSJL1","Southern Jarrah Forest","DON099",2,0.495247880811713,0.698570177998249,344.333333333333,861.666666666667,0.169110263105041,0.273109897491016,40.3333333333333,81.8333333333333,0.174875884793974,0.220874968987394,0.182529847489477,"H","H",0
"57","DON099-TBSJL5","Southern Jarrah Forest","DON099",2,0.465851172273191,0.726705091258405,284.5,849,0.11958891311118,0.344704545040794,-125,-180.125,0.233198597751912,0.264107618084707,0.234996263804052,"H","H",0
"58","DON099-TBSJM8","Southern Jarrah Forest","DON099",2.1,0.528906389833542,0.730200526635609,333,860.5,0.212147012913296,0.468628182723805,-131.5,-109.5,0.389483914257758,0.376580630452882,0.306311670987133,"VH","VH",0
"59","DON099-TBSJH2","Southern Jarrah Forest","DON099",2.2,0.510204081632653,0.716342308717675,354.666666666667,950.833333333333,0.162198754400217,0.534917921382913,-184.666666666667,-275.166666666667,0.368023660992446,0.355354893429594,0.35396802317064,"VH","VH",0
"60","DON099-TBSJM2","Southern Jarrah Forest","DON099",2.2,0.434065934065934,0.69871186440678,370.333333333333,1073.16666666667,0.0807453416149068,0.52379472806478,-114,-124.166666666667,0.342437395006409,0.35811593254482,0.364996977233462,"VH","VH",0
"61","DON099-TBSJM6","Southern Jarrah Forest","DON099",2.2,0.463935022426961,0.689187298922926,370.333333333333,962.166666666667,0.128598130841122,0.437686080852024,-66.6666666666667,-186.333333333333,0.230118278056153,0.319249215983025,0.298775081591611,"VH","H",-1
"62","DON099-TBSJH4","Southern Jarrah Forest","DON099",2.2,0.53281106928477,0.74375,276.75,756.375,0.207501803318105,0.649426710809957,-54.75,-94.875,0.391097112721074,0.461525596180247,0.423407239532305,"VH","VH",0
"63","DON099-TBSJH5","Southern Jarrah Forest","DON099",2.3,0.516747634875991,0.716435185185185,326.666666666667,861.833333333333,0.171984589548553,0.67408429478555,-127.333333333333,-258.666666666667,0.415156170500202,0.473065139646785,0.444134636942212,"VH","VH",0
