"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"59","DON006-GiKH1","Warren","DON006",2.1,0.475935828877005,33,-14,0.419342930970838,0.463980880846705,0.282820707560211,"VH","VH",-1
"60","DON006-ub99","Warren","DON006",0,0.0646103896103897,5,-3,0.126582278481013,0.0484615384615384,0.0385503517961752,"U","U",0
"61","DON006-ub100","Warren","DON006",0,-0.00183150183150182,-5,0.5,0.0606811145510836,-0.0943396226415094,-0.00111539173673185,"U","U",0
"62","DON006-ub101","Warren","DON006",0,0.031102096010818,3,-2,0.0697674418604651,0.0306271642939592,0.0185224034509653,"U","M",1
"63","DON006-ub102","Warren","DON006",0,-0.00316091954022979,-6,-2.5,0.0557530934433225,-0.0268537768537769,-0.00188599017913472,"U","U",0
"64","DON006-ub103","Warren","DON006",0,0.00554295792391035,-14,-4,0.0265306122448979,-0.0409719626168225,0.00329935547090879,"U","U",0
"65","DON006-ub104","Warren","DON006",0,0.0367892976588629,-8,-6.5,0.0255225522552255,0.0442829960214496,0.0222537371105343,"U","U",0
"66","DON006-ub105","Warren","DON006",0,0.000588754783632628,-6,-3,0.0370786516853933,0.00336700336700341,0.000341798719177666,"U","U",0
"67","DON006-ub106","Warren","DON006",0,0.0467597321529906,-6,-5.5,0.0491651205936919,0.0328632423340665,0.0281021288658588,"U","U",0
"68","DON051-GExJU11","Warren","DON051",0,0.0844155844155844,8,-3,0.127272727272727,0.101889500119589,0.0488439024023685,"U","H",2
"69","DON051-GExU","Warren","DON051",0,0.0900076277650649,17,-2.5,0.16568306010929,0.0970530042694991,0.0534103166100201,"U","H",2
"70","DON051-GJU3","Warren","DON051",0,0.137208938896703,9,-6.5,0.0800500312695435,0.161848805327066,0.0867726208464403,"U","M",1
"71","DON051-GJU5","Warren","DON051",0,0.125,5,-4.5,0.0938812785388128,0.0938835666912307,0.0846883468834688,"U","H",2
"72","DON051-GJUa","Warren","DON051",0,0.166694065428243,8,-8.5,0.114402073306183,0.187307032590051,0.105142189257392,"U","H",2
"73","DON051-GSL2","Warren","DON051",0.85,0.171493212669683,8,-4.5,0.100807438218742,0.162685140946011,0.105948490583444,"M","H",0
"74","DON051-GJEx9","Warren","DON051",0.9,0.221297429620563,19,-8,0.148924731182796,0.226244918699187,0.132978625598238,"M","H",0
"75","DON051-GJL5","Warren","DON051",1.05,0.269365721997301,25,-10,0.209890741805635,0.325922728253831,0.157868802799245,"M","H",0
"76","DON051-GKLb","Warren","DON051",1.15,0.0465838509316771,3,-5,0.0766590389016019,0.0397877984084881,0.026440011140058,"M","U",-2
"77","DON051-GJEx8","Warren","DON051",1.16,0.190476190476191,15,-6.5,0.129716571031125,0.20353982300885,0.117574439316893,"M","H",0
"78","DON051-GKLa","Warren","DON051",1.18,0.108766994842944,6,-6.5,0.15,0.126923076923077,0.0638040467716665,"M","H",0
"79","DON051-GJLa","Warren","DON051",1.24,0.18168709444845,10,-7,0.121447556736864,0.191582002902758,0.114995662564394,"M","H",0
"80","DON051-GKEx4","Warren","DON051",1.24,0.0420731707317072,0,-3.5,0.0583333333333333,0.0510543840177581,0.0243761128225419,"M","U",-2
"81","DON051-GJL9","Warren","DON051",1.27,0.238038277511962,19,-5,0.154817275747508,0.217544961909998,0.143388700105776,"M","H",0
"82","DON051-GJL3","Warren","DON051",1.3,0.205128205128205,13,-10.5,0.186746987951807,0.226855713094245,0.123003121204201,"M","H",0
"83","DON051-GJL1","Warren","DON051",1.33,0.177173913043478,17,-6.5,0.113270573944731,0.193135284044375,0.107171974857323,"M","H",0
"84","DON051-GKEx3","Warren","DON051",1.37,0.0388888888888889,9,-2.5,0.11144578313253,0.0365101944049313,0.0222095310616156,"M","U",-2
"85","DON051-GJM4","Warren","DON051",1.45,0.227154499739899,13,-4.5,0.123886639676113,0.184965034965035,0.144627257468645,"H","M",-2
"86","DON051-GExK10","Warren","DON051",1.46,0.0917957544463568,6,-5,0.089602053915276,0.103259005145798,0.0536239213632005,"H","M",-2
"87","DON051-GJM9","Warren","DON051",1.47,0.457027300303337,30,-14,0.337236533957845,0.439628482972136,0.272783947268208,"H","VH",0
"88","DON051-GJMa","Warren","DON051",1.54,0.369408369408369,17,-8,0.204022988505747,0.286324786324786,0.24934425383245,"H","VH",0
"89","DON051-GKEx13","Warren","DON051",1.56,0.109803921568627,9,-4,0.0698821594957522,0.125177809388336,0.0633118901990933,"H","H",-1
"90","DON051-GJEx12","Warren","DON051",1.59,0.204330460374185,10,-6,0.108902691511387,0.19440353460972,0.129448855516299,"H","H",-1
"91","DON051-GExJ6","Warren","DON051",1.66,0.192513368983957,14,-7,0.109282199219413,0.18986836856801,0.116812195193178,"H","H",-1
"92","DON051-GKL10","Warren","DON051",1.7,0.102622253720765,6,-6,0.0531030760928225,0.114285714285714,0.0589046261691938,"H","H",-1
"93","DON051-GKM4","Warren","DON051",1.7,0.159611992945326,9,-9,0.121099783750386,0.212648221343874,0.0943625419287703,"H","H",-1
"94","DON051-GJM3","Warren","DON051",1.85,0.255767963085036,16,-8,0.152611940298508,0.257929226736566,0.156419004586544,"H","H",-1
"95","DON051-GKH7b","Warren","DON051",1.89,0.283333333333333,20,-12,0.206142322097378,0.297619047619048,0.163367288103017,"H","H",-1
"96","DON051-GKM7","Warren","DON051",1.95,0.141223120329419,17,-6,0.166489925768823,0.132940972823265,0.0824976878820251,"H","H",-1
"97","DON051-GKM10","Warren","DON051",1.97,0.130721830985915,10,-4,0.125739946927944,0.159013190034196,0.0786073633661102,"H","H",-1
"98","DON051-GSH2","Warren","DON051",1.98,0.264425072644251,14,-6.5,0.155606407322654,0.234942244224422,0.175365714598769,"H","H",-1
"99","DON051-GJM1","Warren","DON051",2.01,0.471771576898118,37,-13,0.347619047619048,0.507002801120448,0.278060279031769,"VH","VH",-1
"100","DON051-GKL10b","Warren","DON051",2.01,0.152079804253717,12,-6,0.154970760233918,0.173346366894754,0.0900247155725934,"VH","H",-2
"101","DON051-GJL4","Warren","DON051",2.02,0.44044044044044,22,-15,0.295886075949367,0.414882772680938,0.27010452431217,"VH","VH",-1
"102","DON051-GKH7","Warren","DON051",2.02,0.480313034971876,30,-26.5,0.339275445658424,0.551851851851852,0.275143669405075,"VH","VH",-1
"103","DON051-GExM1","Warren","DON051",2.05,0.322745901639344,12,-6.5,0.199322033898305,0.252098669766241,0.224362809620677,"VH","M",-3
"104","DON051-GKEx5","Warren","DON051",2.08,0.190540540540541,12,-8.5,0.149068322981367,0.19073756432247,0.115409170527281,"VH","H",-2
"105","DON051-GJH9","Warren","DON051",2.13,0.463171036204744,31,-13,0.307720057720058,0.433091202582728,0.274651854714351,"VH","VH",-1
"106","DON051-GKM2","Warren","DON051",2.18,0.217894736842105,13,-9,0.187551187551188,0.221538461538462,0.131349344839621,"VH","H",-2
"107","DON051-GJH1","Warren","DON051",2.22,0.532024310425433,39,-15,0.376167812444915,0.541361668634396,0.309059489606449,"VH","VH",-1
"108","DON051-GJH3","Warren","DON051",2.37,0.421917808219178,29,-8.5,0.290093048713738,0.357552004823636,0.263533921436089,"VH","VH",-1
"109","DON051-GJHa","Warren","DON051",2.47,0.52406015037594,23,-12,0.280398322851153,0.403809523809524,0.337313013894199,"VH","VH",-1
"110","DON051-GJH4","Warren","DON051",2.5,0.421356421356421,19,-7.5,0.237128011336797,0.288413547237077,0.274773617592287,"VH","VH",-1
"111","DON051-GKH2a","Warren","DON051",2.53,0.282368912268794,22,-10,0.262313432835821,0.305270732146069,0.169728494588833,"VH","H",-2
"112","DON051-GKH2","Warren","DON051",2.55,0.418690005646527,30,-17,0.355555555555556,0.454027298635068,0.243652307007822,"VH","VH",-1
"113","DON051-GSH2b","Warren","DON051",2.68,0.251922207146088,9,-5.5,0.137826350941105,0.177620274914089,0.183331572428643,"VH","M",-3
"114","DON051-ub32","Warren","DON051",0,0.103896103896104,4,-5,0.0892307692307692,0.118233618233618,0.0644760914593358,"U","H",2
"115","DON051-ub33","Warren","DON051",0,0.126380766731644,9,-6,0.114634146341463,0.178435444790585,0.0752260940562103,"U","M",1
"116","DON051-ub34","Warren","DON051",0,0.0187003272557269,0,-2.5,0.0297287253808992,0.0336181538030537,0.0107465089294086,"U","U",0
"117","DON051-ub35","Warren","DON051",0,0.0705882352941176,4,-4.5,0.0764347713434382,0.0930716622063633,0.0422282436569659,"U","H",2
"118","DON051-ub36","Warren","DON051",0,0.0338660578386606,8,-3.5,0.100793650793651,0.0508910891089109,0.0216722819792784,"U","U",0
"119","DON051-ub37","Warren","DON051",0,0.0555624151129769,3,-5,0.0597701149425287,0.0650992366412214,0.0363369188182362,"U","U",0
"120","DON051-ub38","Warren","DON051",0,0.0827586206896551,6,-6,0.0737770649558941,0.108231707317073,0.0516918305369489,"U","M",1
"121","DON051-ub39","Warren","DON051",0,0.105565717272015,7,-6,0.0826553015627017,0.11989247311828,0.0643125001691387,"U","H",2
"122","DON079-EJL3","Warren","DON079",1.02,0.224743677375256,26,-6,0.0816326530612245,0.275237273511648,0.131716890407782,"M","M",-1
"123","DON079-EJL6","Warren","DON079",1.31,0.290058479532164,24,-8.5,0.100358422939068,0.3301214257736,0.169415686662955,"M","H",0
"124","DON079-EJL2b","Warren","DON079",1.46,0.132784354091611,-3,-7,-0.0337024554646125,0.157512351060738,0.0801754412679156,"H","M",-2
"125","DON079-EJL1","Warren","DON079",1.64,0.262089453705232,18,-8,0.0756681707740368,0.29392747924858,0.155289540183564,"H","H",-1
"126","DON079-EKU1b","Warren","DON079",1.67,0.12271034996277,10,-5.5,0.00408580183861085,0.221395187813744,0.0713993890326553,"H","H",-1
"127","DON079-EJM2b","Warren","DON079",1.78,0.307313642756681,17,-9.5,0.099306316173786,0.355304101838755,0.181070695468923,"H","H",-1
"128","DON079-EJL7","Warren","DON079",1.8,0.269820971867008,29,-2.5,0.124957784532253,0.276829474395809,0.163213906134213,"H","H",-1
"129","DON079-EJM4","Warren","DON079",1.86,0.292331768388106,26,-4.5,0.126373626373626,0.253443526170799,0.177661281348704,"H","H",-1
"130","DON079-EJM7","Warren","DON079",1.86,0.432183908045977,32,-3.5,0.184920634920635,0.382337198929527,0.264626602011444,"H","VH",0
"131","DON079-EKL4","Warren","DON079",1.98,0.129165590286748,24,-4,0.0675245606752456,0.192496392496392,0.0771382213561485,"H","M",-2
"132","DON079-EJM6","Warren","DON079",2.01,0.417567335735118,31,-11,0.234608378870674,0.447642163661581,0.245317672779888,"VH","VH",-1
"133","DON079-EKH3","Warren","DON079",2.02,0.212036779047088,31,-3,0.0880597014925373,0.276666666666667,0.120916697928638,"VH","VH",-1
"134","DON079-EKM3","Warren","DON079",2.08,0.268542199488491,30,-8,0.151515151515151,0.37593984962406,0.154323028964228,"VH","M",-3
"135","DON079-EJM1b","Warren","DON079",2.12,0.47469220246238,32,-10,0.257704160246533,0.420871767046482,0.287315635683774,"VH","VH",-1
"136","DON079-EJM3","Warren","DON079",2.21,0.392328767123288,37,-7.5,0.222816399286988,0.378596594245449,0.233390105367809,"VH","VH",-1
"137","DON079-EJH1b","Warren","DON079",2.34,0.502606105733433,27,-11.5,0.258818342151675,0.427030913012221,0.310010871047878,"VH","VH",-1
"138","DON079-EJM1","Warren","DON079",2.42,0.379862700228833,32,-10.5,0.171517027863777,0.407142857142857,0.223889555012766,"VH","VH",-1
"139","DON079-EJH2","Warren","DON079",2.53,0.307317073170732,21,-8.5,0.120214669051878,0.346153846153846,0.179894633143445,"VH","H",-2
"140","DON079-EJH6","Warren","DON079",2.54,0.869889797369356,59,-11,0.413366336633663,0.727698530977219,0.50196797292532,"VH","VH",-1
