"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"142","DON079-EJH1","Warren","DON079",2.64,0.566265645296396,0.756565780337377,270.909090909091,740.621212121212,0.235213020584012,0.505397629967994,-123.818181818182,-261.409090909091,0.381227728665819,0.370049500493729,0.322470942615739,"VH","VH",-1
"143","DON079-EJH4","Warren","DON079",2.65,0.572676987529866,0.757498171177762,276.25,761.791666666667,0.232272459159336,0.60681385858633,-165.583333333333,-282.708333333333,0.420969038038459,0.422777096794928,0.385602549566935,"VH","VH",-1
"144","DON079-EKL1b","Warren","DON079",1.98,0.591124022622616,0.77140104596752,237.285714285714,659.392857142857,0.259300931927696,0.189579497355849,-6.14285714285714,-84.3214285714287,0.114556077699161,0.113907332179097,0.119073322594282,"H","H",-1
"145","DON079-EKL1","Warren","DON079",2.03,0.706256386964914,0.822780203784571,224.769230769231,609.051282051282,0.398923212983507,0.15634350728514,-38.1538461538461,-161.038461538461,0.0919201054511307,0.12648414333115,0.091575880739905,"VH","H",-2
"146","DON079-EKM1b","Warren","DON079",2.14,0.582161969318587,0.769108026168821,241.166666666667,677.083333333333,0.248184632704757,0.338948893775434,-56.6666666666667,-213.333333333333,0.177943868335027,0.210484569483115,0.214096157148925,"VH","H",-2
"147","DON079-EJH2b","Warren","DON079",2.25,0.564389032815199,0.759385717320708,283.142857142857,784.321428571429,0.233876803882338,0.50858824051186,-145.357142857143,-280.767857142857,0.36920781926827,0.365428575788743,0.324895747862251,"VH","VH",-1
"148","DON079-ub45","Warren","DON079",0,0.55740961462058,0.746102449888641,285,754.5,0.231155778894472,0.0145299922759695,45,-12.5,-0.0168072941616505,-0.000241395359844743,0.00932360281895917,"U","U",0
"149","DON079-ub46","Warren","DON079",0,0.411047345767575,0.670488322717622,388,995.5,0.101960784313725,0.0480631276901005,-12,-69.5,0.0477535615973584,0.0431700348013265,0.0340379009486922,"U","U",0
"150","DON079-ub47","Warren","DON079",0,0.574234092694423,0.767975297750331,263,743,0.2420204524326,0.0469041674093262,23,-52.5,0.0336282494497941,0.0421440236405085,0.0297759981369481,"U","U",0
"151","DON079-ub48","Warren","DON079",0,0.645308924485126,0.781172584640793,265,698.5,0.311644876862268,0.0312176514667112,75,7.5,0.0220102809758713,0.0201650562344655,0.0189622075191473,"U","U",0
"152","DON079-ub49","Warren","DON079",0,0.44155307724081,0.677884615384615,335,879.5,0.101293783527927,-0.00255568408849555,34,-20.5,0.0282306361458611,-0.00226822174911807,-0.00177163955269073,"U","U",0
"153","DON079-ub50","Warren","DON079",0,0.554858934169279,0.75886524822695,272,787.5,0.207179799209005,0.0362088453593323,34,6,0.0165972069898369,0.0359469224966764,0.0232725760440906,"U","U",0
"154","DON079-ub51","Warren","DON079",0,0.638256845352873,0.775919732441472,268,633.5,0.360230547550432,0.00556045469469901,90,40.5,0.0220325711798102,0.0417564798264717,0.00339205824301563,"U","U",0
"155","DON079-ub52","Warren","DON079",0,0.645569620253165,0.792376317923763,256,702.5,0.315867817802918,0.046843505603483,19,-39,0.0409359887056562,0.0596901512405153,0.0284491496911505,"U","U",0
"156","DON079-ub53","Warren","DON079",0,0.57786038826931,0.754708314193845,267,738,0.224751522924014,0.0739977273251042,33,-39,0.0285999398096083,0.0675520513255993,0.0468678091330278,"U","U",0
"157","DON079-ub54","Warren","DON079",0,0.591160220994475,0.769197016235191,263,736,0.250232558139535,0.00425453120491948,34,1,0.00862095862943035,-0.00404693143407236,0.00267217529292502,"U","U",0
"158","FRK050-LHU1","Warren","FRK050",0,0.514812376563529,0.741203178206583,248.727272727273,676.613636363636,0.20481060296163,0.0822717793922348,-41.0909090909091,-100.545454545455,0.0556016002973132,0.102154279880489,0.0542757010460303,"U","U",0
"159","FRK050-LJU1","Warren","FRK050",0,0.634057384464485,0.794672272598914,251.692307692308,648.846153846154,0.355499206104699,-0.000679239733343606,-11.3846153846154,-45.5256410256411,0.00594640387304568,0.026942853535989,-0.000415422565469206,"U","U",0
"160","FRK050-LKU1","Warren","FRK050",0,0.537913602941176,0.622727018407654,518.692307692308,927.846153846154,0.250560538116592,0.0987463510926904,-131.538461538462,-173.435897435897,0.0737100258502343,0.0706603735303941,0.0641662734697816,"U","U",0
"161","FRK050-LKU5","Warren","FRK050",0,0.747518523696351,0.845427031815162,224.357142857143,598.178571428571,0.467480629255694,0.0338476699056223,-30.7857142857143,-68.3928571428571,0.0267192208219125,0.0601837671420387,0.0193579132545125,"U","U",0
"162","FRK050-LHL3","Warren","FRK050",0.65,0.469944993041288,0.696886236707214,330.166666666667,783.833333333333,0.197947610045909,0.430815514034913,-149.083333333333,-196.041666666667,0.27394824754406,0.310164719633663,0.292883497393176,"M","VH",1
"163","FRK050-LKL7b","Warren","FRK050",1.01,0.74975129327497,0.864472359145598,196.692307692308,582.596153846154,0.472842413775056,0.0536692720373283,-17.3076923076923,-16.6538461538462,0.0336423196199065,0.0694186900968257,0.0306549949404487,"M","U",-2
"164","FRK050-LHL7","Warren","FRK050",1.03,0.55800719198408,0.74184231069477,275.583333333333,698.791666666667,0.247337675042625,0.405251878837569,-135.666666666667,-203.833333333333,0.229057238130844,0.29117406080282,0.259942276675339,"M","VH",1
"165","FRK050-LKL1","Warren","FRK050",1.04,0.511779078049352,0.728430948110582,313.642857142857,833.988095238095,0.191574937998764,-0.0341268778350104,-8.57142857142856,1.21428571428567,0.00357580934876434,-0.00959739328393394,-0.0225590625427047,"M","U",-2
"166","FRK050-LHL9","Warren","FRK050",1.13,0.441605488410861,0.681989900878997,354.25,882.75,0.140769679596134,0.364002034688633,-101.833333333333,-121.041666666667,0.207633389161748,0.236945604704321,0.252322646498184,"M","H",0
"167","FRK050-LHM8","Warren","FRK050",1.17,0.569376882094047,0.744335736354274,305.538461538462,761.769230769231,0.262402757721153,0.422943489193706,-149.538461538462,-220.894230769231,0.23165039862775,0.295806490886054,0.269326105100149,"M","VH",1
"168","FRK050-LKL5","Warren","FRK050",1.25,0.743846153846154,0.866831362861008,188.666666666667,583.958333333333,0.459587481891973,0.150156499802361,-90.9166666666667,-98.7083333333333,0.109060885260922,0.156791495269899,0.086057157229233,"M","M",-1
"169","FRK050-LHM7","Warren","FRK050",1.57,0.560689565103827,0.747258531450127,261.909090909091,667.787878787879,0.255510495681957,0.474420643077389,-150.818181818182,-199.242424242424,0.26990862066903,0.317688491613896,0.303786779189914,"H","VH",0
"170","FRK050-LKL2b","Warren","FRK050",1.58,0.647746988549051,0.800308717198798,223.454545454545,605.060606060606,0.34248788368336,0.159826231406734,-73.5454545454545,-120.772727272727,0.0850766404936331,0.127021227997635,0.096937997471271,"H","H",-1
"171","FRK050-LHL11","Warren","FRK050",1.6,0.663645221293809,0.798927271566311,262.416666666667,692.041666666667,0.353397545216535,0.274300388911001,-117.166666666667,-116.416666666667,0.170294113521388,0.20614277838906,0.164780089716539,"H","H",-1
"172","FRK050-LHM3","Warren","FRK050",1.61,0.440390993192529,0.675419599350298,342.571428571429,815.785714285714,0.156768375309565,0.472742673435249,-131.142857142857,-130.071428571429,0.298054908931108,0.306842239110509,0.327976708379573,"H","VH",0
"173","FRK050-LKL11","Warren","FRK050",1.7,0.71423604404095,0.838076301727352,200.461538461538,562.897435897436,0.421824182514379,0.394485524290431,-187.153846153846,-305.24358974359,0.230674665576203,0.34063876182629,0.229989059325652,"H","H",-1
"174","FRK050-LKL11b","Warren","FRK050",1.7,0.746218342121186,0.850564885496183,203.916666666667,571.208333333333,0.458101768314688,0.359791566092611,-249.5,-350.75,0.262746242262972,0.344570450246367,0.205922498304254,"H","H",-1
"175","FRK050-LHM9","Warren","FRK050",1.73,0.449087497867986,0.610514343485404,513.666666666667,1029.45833333333,0.157729781290454,0.338873077509833,-233.666666666667,-273.833333333333,0.255346268705609,0.241893248903069,0.233691468968643,"H","H",-1
"176","FRK050-LKL7","Warren","FRK050",1.88,0.683106520277163,0.804998217237691,231.384615384615,577.192307692308,0.397670799658652,0.410877184667545,-210.846153846154,-314.298076923077,0.291500713641177,0.384779585647509,0.243973394628224,"H","H",-1
"177","FRK050-LJL2","Warren","FRK050",2,0.611860524306439,0.785084723712883,254.153846153846,683.24358974359,0.309824198552223,0.456560643916851,-209.538461538462,-252.102564102564,0.31083589025599,0.349262739212563,0.283075093621738,"H","H",-1
"178","FRK050-LHM10","Warren","FRK050",2,0.299686263811213,0.606161985528671,389.384615384615,957.025641025641,0.0203469693724566,0.609525355091917,-28.6923076923077,106.98717948718,0.344562909378952,0.304718116104886,0.468618276405806,"H","H",-1
"179","FRK050-LKL13b","Warren","FRK050",2,0.787514540519581,0.8680714347738,189.916666666667,539.625,0.502957477527828,0.426657526850492,-253.25,-377.791666666667,0.295546214726374,0.424006480643952,0.238554128123858,"H","H",-1
"180","FRK050-LKM5","Warren","FRK050",2.01,0.758760251357972,0.855289028706253,214.666666666667,604.083333333333,0.469520334608881,0.531889905252063,-422.166666666667,-566.083333333333,0.424801269269654,0.500980838683357,0.302251346364719,"VH","VH",-1
